23277296,-3.18,-0.63,-9.57
23280932,-3.14,-0.71,-9.85
23284572,-3.18,-1.02,-9.49
23288212,-3.22,-0.98,-9.53
23291856,-3.37,-1.10,-9.26
23295496,-3.33,-0.94,-9.85
23299132,-3.14,-1.18,-10.08
23302820,-3.18,-0.90,-9.45
23306452,-3.10,-0.90,-9.26
23310080,-3.14,-0.82,-9.77
23313724,-3.18,-0.82,-9.45
23317352,-3.18,-0.82,-9.61
23320984,-2.98,-1.06,-9.77
23324624,-2.98,-0.71,-9.81
23328268,-2.98,-0.86,-9.65
23331908,-2.90,-0.71,-9.02
23335536,-2.98,-1.06,-8.87
23339176,-2.94,-1.22,-8.67
23342812,-2.79,-1.02,-9.49
23346448,-2.94,-0.86,-9.18
23350088,-2.86,-0.86,-9.26
23353728,-3.10,-1.22,-8.32
23357364,-2.86,-1.06,-9.26
23361012,-2.94,-0.90,-8.98
23364648,-2.90,-1.06,-9.26
23368292,-2.94,-1.02,-9.22
23371932,-2.94,-1.10,-8.90
23375564,-3.02,-0.94,-9.69
23379192,-2.94,-1.33,-8.79
23382836,-3.06,-0.82,-9.77
23386472,-3.14,-1.06,-9.81
23390112,-3.18,-0.98,-9.77
23393756,-3.14,-0.94,-9.49
23397388,-3.18,-0.47,-9.96
23401024,-3.22,-0.35,-10.08
23404732,-3.33,-0.47,-9.89
23408360,-3.49,-0.43,-10.00
23412056,-3.26,-0.47,-10.40
23415752,-3.37,-0.47,-9.57
23419384,-3.53,-0.51,-10.20
23423072,-3.41,-0.51,-10.32
23426772,-3.37,-0.51,-10.47
23430464,-3.41,-0.86,-10.00
23434156,-3.45,-1.49,-9.92
23437804,-3.37,-0.90,-9.73
23441440,-3.45,-1.14,-10.04
23445124,-3.37,-1.22,-10.04
23448816,-3.37,-0.98,-10.04
23452504,-3.22,-1.06,-10.08
23456196,-3.30,-0.90,-10.08
23459888,-3.22,-1.06,-9.57
23463528,-3.22,-1.37,-9.45
23467176,-3.14,-1.29,-9.38
23470816,-3.10,-0.98,-9.65
23474444,-3.06,-1.10,-9.10
23478068,-3.06,-1.29,-9.14
23481724,-3.10,-0.78,-9.49
23485352,-2.94,-1.10,-9.77
23489000,-2.98,-1.18,-9.30
23492648,-3.14,-1.18,-9.38
23496296,-3.18,-1.02,-9.34
23499944,-3.02,-1.02,-9.22
23503580,-3.14,-0.90,-9.77
23507228,-3.10,-0.78,-9.85
23510864,-3.02,-0.98,-10.00
23514540,-3.06,-0.78,-9.73
23518168,-3.26,-1.06,-9.65
23521808,-3.14,-0.86,-9.96
23525444,-3.22,-1.14,-9.26
23529084,-3.30,-0.90,-10.00
23532756,-3.22,-1.26,-10.00
23536448,-3.22,-0.98,-10.08
23540136,-3.18,-0.98,-10.04
23543828,-3.30,-1.14,-10.24
23547524,-3.26,-1.06,-9.77
23551168,-3.26,-0.94,-10.24
23554872,-3.22,-1.02,-9.85
23558512,-3.22,-1.14,-9.45
23562168,-3.14,-0.39,-10.04
23565860,-3.10,-1.26,-9.45
23569504,-3.14,-0.94,-9.85
23573128,-3.06,-0.59,-9.89
23576756,-3.10,-1.37,-9.18
23580384,-3.10,-1.06,-9.14
23584032,-2.98,-0.94,-9.22
23587668,-2.98,-0.82,-9.06
23591308,-3.10,-0.78,-8.63
23594944,-2.98,-0.78,-9.02
23598580,-2.86,-0.94,-9.57
23602224,-2.90,-0.90,-9.26
23605864,-3.02,-0.90,-8.75
23609496,-2.94,-0.94,-9.10
23613120,-2.94,-0.90,-9.26
23616756,-2.94,-0.86,-9.22
23620384,-2.94,-0.90,-9.85
23624004,-3.06,-1.22,-8.75
23627640,-3.06,-0.98,-9.22
23631276,-3.10,-0.90,-9.69
23634896,-3.06,-0.59,-9.38
23638524,-3.18,-1.02,-9.06
23642164,-3.10,-0.67,-9.61
23645800,-3.22,-0.71,-9.45
23649448,-3.37,-1.06,-9.77
23653084,-3.06,-0.90,-9.73
23656716,-3.37,-0.78,-9.38
23660348,-3.22,-0.90,-9.85
23663992,-3.22,-0.90,-10.08
23667680,-3.26,-0.86,-10.12
23671384,-3.33,-0.82,-9.85
23675032,-3.33,-1.14,-9.49
23678668,-3.26,-1.26,-9.92
23682320,-3.33,-0.90,-9.89
23685944,-3.18,-1.10,-9.57
23689588,-3.10,-1.22,-9.18
23693240,-3.06,-0.47,-9.92
23696880,-3.06,-1.14,-9.65
23700520,-2.94,-1.02,-9.81
23704156,-2.90,-1.10,-8.98
23707800,-3.02,-1.06,-9.89
23711424,-3.02,-0.98,-9.34
23715060,-3.10,-0.94,-9.10
23718696,-3.02,-0.90,-8.87
23722324,-2.94,-0.94,-9.73
23725956,-2.94,-0.98,-9.49
23729588,-2.98,-0.94,-9.30
23733216,-3.02,-1.22,-8.79
23736860,-3.06,-1.33,-9.22
23740496,-3.06,-0.90,-9.30
23744116,-3.06,-0.67,-9.77
23747756,-3.14,-1.10,-9.45
23751392,-3.06,-0.75,-10.04
23755084,-3.18,-0.75,-9.73
23758740,-3.37,-0.90,-9.73
23762360,-3.18,-0.90,-9.69
23765992,-3.33,-0.98,-10.20
23769692,-3.22,-0.90,-9.65
23773320,-3.30,-0.98,-9.92
23776948,-3.37,-1.02,-9.41
23780580,-3.33,-1.02,-9.85
23784208,-3.30,-1.18,-9.89
23787872,-3.30,-0.78,-9.85
23791516,-3.41,-0.82,-10.36
23795212,-3.26,-1.14,-9.96
23798864,-3.37,-0.82,-9.65
23802488,-3.26,-1.29,-9.41
23806140,-3.26,-0.94,-9.96
23809776,-3.30,-0.94,-9.61
