121449424,-0.67,0.04,-12.43
121453152,-0.75,0.00,-11.81
121456880,-0.75,0.16,-11.61
121460620,-0.90,0.20,-11.69
121464352,-0.98,0.16,-12.04
121468088,-1.10,-0.08,-11.53
121471832,-1.26,0.04,-11.61
121475588,-1.45,-0.16,-11.26
121479356,-1.49,-0.20,-10.90
121483096,-1.53,-0.04,-10.83
121486840,-1.57,0.00,-11.18
121490584,-1.57,0.12,-10.55
121494340,-1.61,0.12,-10.71
121498096,-1.37,0.12,-10.47
121501836,-1.22,0.63,-10.79
121505588,-1.06,0.90,-11.22
121509320,-1.02,1.02,-10.75
121513056,-0.94,1.22,-10.87
121516804,-0.75,1.26,-11.26
121520556,-0.67,0.67,-10.94
121524296,-0.78,0.94,-11.22
121528036,-0.63,0.59,-10.40
121531776,-0.39,0.27,-11.02
121535520,-0.39,-0.16,-10.28
121539276,-0.24,-0.12,-10.24
121543036,-0.16,-0.39,-10.16
121546796,-0.12,0.35,-10.00
121550484,0.00,0.00,-9.92
121554112,0.08,0.35,-9.73
121557768,0.16,0.39,-9.57
121561448,0.31,0.67,-9.89
121565108,0.43,0.55,-9.45
121568768,0.43,0.59,-9.14
121572440,0.43,0.51,-9.45
121576092,0.31,0.39,-9.22
121579768,0.39,0.24,-9.34
121583440,0.16,0.12,-9.02
121587096,0.20,-0.43,-9.14
121590772,0.24,-0.67,-97
132805032,0.24,1.26,-9.85
132808708,0.31,1.26,-10.36
132812436,0.20,1.73,-10.79
132816156,0.16,1.41,-10.32
132819900,0.24,1.53,-10.00
132823616,0.24,1.45,-10.55
132827332,0.27,1.29,-10.55
132831060,0.20,1.29,-10.47
132834780,0.24,1.22,-10.63
132838516,0.39,1.29,-10.20
132842244,0.43,1.26,-10.36
132845964,0.27,1.26,-9.89
132849628,0.31,1.14,-9.77
132853292,0.51,1.29,-9.92
132856968,0.47,1.26,-10.55
132860692,0.43,1.41,-9.77
132864368,0.47,1.29,-9.73
132868028,0.55,1.33,-9.89
132871692,0.59,1.14,-9.69
132875348,0.55,1.37,-9.18
132879008,0.47,1.92,-9.18
132882672,0.31,1.84,-9.57
132886328,0.55,1.65,-9.85
132889996,0.39,1.88,-9.53
132893656,0.43,1.65,-9.69
132897320,0.35,1.49,-9.65
132900980,0.43,1.53,-9.92
132904644,0.31,1.33,-9.85
132908320,0.20,1.41,-10.04
132912040,0.20,1.14,-10.24
132915764,0.24,1.33,-9.96
132919432,0.16,1.18,-10.59
132923160,0.12,0.98,-10.47
132926876,0.08,1.02,-10.43
132930600,0.08,0.94,-10.87
132934300,0.16,1.06,-10.87
132938040,0.04,0.90,-10.98
132941752,0.08,1.18,-11.02
132945480,0.24,1.33,-10.40
132949208,0.16,1.57,-10.90
132952924,0.27,1.69,-10.71
132956660,0.20,1.77,-10.71
132960392,0.31,1.88,-10.20
132964108,0.47,2.04,-10.08
132967828,0.43,2.20,-10.00
132971544,0.47,1.73,-9.73
132975212,0.43,1.80,-9.65
132978872,0.47,1.88,-9.85
132982536,0.39,1.96,-10.04
132986260,0.47,1.57,-10.24
132989988,0.39,1.41,-10.04
132993700,0.24,1.29,-10.16
132997420,0.31,1.10,-9.81
133001092,0.27,1.18,-10.43
133004824,0.39,0.63,-9.81
133008488,0.27,0.94,-9.96
133012144,0.31,0.90,-10.12
133015864,0.16,0.78,-10.08
133019580,0.27,0.94,-10.55
133023308,0.24,0.94,-10.16
133027036,0.16,0.67,-10.16
133030760,0.20,0.98,-10.55
133034488,0.16,0.90,-10.08
133038196,0.20,1.18,-10.16
133041928,0.20,1.49,-10.59
