-10.24
327367748,-0.71,2.24,-9.349228304,0.08,0.71,-9.96
349231956,0.08,0.59,-9.85
349235608,0.04,0.55,-10.08
349239320,0.04,0.51,-9.92
349242976,0.00,0.78,-10.28
349246688,0.20,0.67,-10.16
349250408,0.08,0.94,-10.32
349254136,0.12,0.98,-10.32
349257872,0.04,1.22,-10.55
349261580,0.00,1.22,-10.59
349265292,-0.12,1.14,-10.67
349269024,0.00,1.06,-10.87
349272724,-0.12,1.10,-10.90
349276456,0.04,1.18,-10.83
349280184,0.04,1.53,-10.83
349283916,0.08,1.61,-10.79
349287644,0.12,2.04,-10.83
349291364,0.16,2.16,-10.55
349295112,0.08,2.08,-10.55
349298828,0.04,2.12,-10.75
349302560,0.04,1.96,-10.36
349306276,0.08,1.61,-10.36
349310008,0.16,1.29,-10.24
349313732,0.04,0.98,-10.32
349317456,0.08,0.78,-10.04
349321160,0.20,0.59,-10.00
349324872,0.20,0.47,-9.73
349328544,0.31,0.55,-9.89
349332196,0.12,0.59,-9.69
349335864,0.39,0.55,-9.77
349339536,0.16,0.75,-9.81
349343192,0.35,0.71,-9.85
349346872,0.43,0.71,-9.65
349350540,0.31,0.90,-9.85
349354188,0.20,1.10,-9.73
349357856,0.20,1.33,-9.89
349361532,0.08,1.53,-9.96
349365184,0.08,1.49,-10.20
349368900,0.00,1.61,-10.20
349372600,0.27,1.80,-10.36
349376312,0.00,1.92,-10.40
349380028,-0.08,1.84,-10.90
349383756,-0.12,1.88,-10.90
349387488,-0.16,1.77,-10.98
349391240,-0.16,1.65,-10.90
349394984,-0.12,1.41,-11.14
349398720,-0.08,1.33,-11.22
349402468,0.04,0.94,-11.41
349406188,0.24,0.47,-11.45
349409912,0.04,0.59,-11.02
349413604,0.00,0.67,-10.59
349417312,0.08,0.90,-10.40
349421032,0.04,1.26,-10.24
349424760,0.08,1.26,-10.40
349428472,0.08,1.41,-10.00
349432180,0.16,1.10,-9.81
349435852,0.12,1.18,-9.73
349439528,-0.04,1.18,-9.77
349443200,0.16,1.02,-9.81
349446864,0.47,0.90,-9.92
349450536,0.08,0.94,-9.92
349454180,0.16,1.22,-10.16
349457916,0.16,1.06,-10.24
349461652,0.04,1.41,-10.32
349465368,0.08,1.61,-10.55
349469096,0.04,1.53,-10.83
349472820,-0.16,1.45,-10.75
349476560,0.08,1.49,-11.02
349480256,0.00,1.53,-10.98
349483964,-0.08,1.41,-11.02
349487704,0.04,1.33,-10.79
349491432,0.16,1.29,-10.59
349495152,0.20,1.57,-10.47
349498872,0.27,1.53,-10.51
349502604,0.24,1.45,-10.36
349506328,0.04,1.22,-10.28
349510060,0.08,1.14,-10.20
349513780,0.12,0.82,-10.32
349517512,0.20,0.75,-10.36
349521232,0.08,0.55,-10.40
349524944,0.08,0.59,-10.63
349528668,-0.04,0.47,-10.59
349532392,0.08,0.82,-10.63
349536112,-0.08,0.86,-10.55
349539848,0.04,1.18,-10.71
349543568,-0.24,1.26,-10.55
349547320,-0.12,1.57,-10.83
349551080,-0.16,1.77,-10.83
349554832,-0.16,1.77,-10.94
349558576,-0.16,1.73,-10.71
349562328,0.12,1.57,-10.94
349566056,0.04,1.22,-10.79
349569760,0.00,1.33,-10.43
349573480,0.12,1.10,-10.36
349577200,0.08,1.29,-10.40
349580920,0.12,1.14,-10.16
349584652,0.08,1.29,-10.40
349588376,0.12,1.41,-10.24
349592116,0.12,1.14,-9.96
349595788,0.20,1.14,-10.32
349599520,0.12,1.14,-10.28
349603248,0.16,1.26,-10.32
349606988,0.08,1.14,-10.40
349610700,0.27,1.41,-10.43
349614444,0.08,1.22,-10.36
349618168,0.12,1.33,-10.32
349621896,0.12,1.29,-10.43
349625616,0.12,1.33,-10.24
349629324,0.00,1.45,-9.96
349632960,0.00,1.41,-10.20
349636668,0.20,1.18,-9.92
349640324,0.04,1.10,-10.24
349644036,-0.16,1.02,-10.16
349647784,0.20,0.82,-10.16
349651520,0.16,0.94,-10.16
349655236,0.08,1.14,-10.12
349658960,0.08,1.26,-10.16
349662688,0.12,1.18,-10.08
349666420,0.08,1.29,-10.16
349670140,0.16,1.22,-10.51
349673860,0.00,1.29,-10.51
349677576,0.04,1.33,-10.71
349681292,-0.08,1.10,-10.67
349685008,0.00,1.10,-10.79
349688712,-0.20,1.02,-10.87
349692448,0.04,0.86,-10.75
349696164,0.08,0.98,-10.75
349699876,0.08,0.90,-10.59
349703580,0.16,0.78,-10.24
349707312,0.04,1.14,-10.08
349711020,0.12,1.33,-10.08
349714736,0.08,1.33,-9.81
349718400,0.20,1.65,-9.69
349722068,0.24,1.45,-9.65
349725736,0.20,1.69,-9.53
349729400,0.35,1.57,-9.30
349733072,0.35,1.65,-9.45
349736736,0.20,1.45,-9.61
349740408,0.20,1.37,-9.69
349744080,0.08,1.53,-10.12
349747804,0.24,1.37,-10.16
349751540,0.16,1.26,-10.40
349755264,0.20,1.37,-10.63
349758996,0.20,1.26,-10.51
349762728,0.27,1.45,-10.71
349766456,0.16,1.26,-10.55
349770184,0.16,1.18,-10.63
349773908,0.08,1.10,-10.24
349777624,0.12,1.06,-10.47
349781352,0.16,1.18,-10.36
349785100,0.16,0.94,-10.36
349788820,0.16,0.82,-10.00
349792536,0.16,0.98,-10.36
349796268,0.24,1.02,-10.36
349800012,0.04,1.18,-10.63
349803728,0.12,1.14,-10.32
349807440,0.00,1.37,-10.24
349811132,0.00,1.37,-10.40
349814840,0.00,1.18,-10.40
349818540,0.04,1.49,-10.55
349822240,0.00,1.37,-10.71
349825964,0.04,1.41,-10.47
349829688,-0.16,1.41,-10.40
349833428,0.04,1.41,-10.75
349837144,0.04,1.37,-10.71
349840872,0.08,1.41,-10.75
349844588,0.08,1.41,-10.75
349848304,0.04,1.26,-10.51
349852028,0.12,1.57,-10.63
349855764,0.08,1.33,-10.20
349859472,0.04,1.53,-10.43
349863188,0.08,1.49,-10.32
349866892,0.00,1.26,-10.08
349870596,0.16,1.18,-10.20
349874316,0.00,1.10,-10.08
349878016,0.20,1.14,-10.04
349881732,0.31,1.10,-10.08
349885452,0.12,1.10,-9.96
349889116,0.16,1.06,-9.89
349892788,0.08,1.18,-10.12
349896516,0.20,1.06,-9.96
349900164,0.24,1.22,-10.20
349903900,0.12,1.26,-10.12
349907632,0.08,1.18,-10.40
349911348,0.24,1.22,-10.32
349915088,0.47,1.06,-10.32
349918832,0.20,1.18,-10.55
349922552,0.20,1.33,-10.67
349926260,0.00,1.26,-10.90
349929980,0.04,1.26,-10.83
349933708,0.12,1.10,-11.06
349937424,0.16,0.98,-10.83
349941152,0.20,0.90,-10.71
349944868,0.16,1.06,-10.55
349948584,0.16,1.18,-10.40
349952312,0.16,1.33,-10.12
349956048,0.16,1.37,-10.55
349959792,0.16,1.49,-10.36
349963528,0.24,1.53,-10.59
349967256,0.20,1.45,-10.67
349970988,0.08,1.61,-10.55
349974708,0.08,1.61,-10.43
349978424,0.04,1.69,-10.36
349982144,0.04,1.69,-10.36
349985848,0.00,1.77,-10.71
349989564,0.08,1.53,-10.40
349993280,0.16,1.10,-10.47
349997008,0.08,0.94,-10.24
350000724,0.08,1.02,-10.36
350004440,0.04,0.86,-10.28
350008156,0.12,0.78,-10.32
350011888,0.20,0.67,-10.43
350015624,0.27,0.75,-10.32
350019352,0.35,0.82,-10.28
350023076,0.27,0.86,-10.28
350026804,0.71,0.94,-10.16
350030528,0.31,0.94,-10.16
350034244,0.16,1.06,-10.00
350037952,0.24,1.06,-9.77
350041620,0.24,1.14,-9.96
350045284,0.27,1.22,-10.04
350049004,0.24,1.14,-9.89
350052676,0.16,1.26,-10.16
350056420,0.04,1.14,-10.04
350060140,0.04,1.41,-10.04
350063852,0.12,1.41,-10.12
350067580,0.08,1.73,-10.43
350071296,0.08,1.57,-10.43
350075008,0.00,1.80,-10.71
350078716,-0.27,1.53,-10.24
350082444,0.00,1.53,-10.71
350086160,0.31,1.49,-10.83
350089880,-0.12,1.61,-10.87
350093628,-0.08,1.49,-10.59
350097360,-0.16,1.53,-10.63
350101108,0.04,1.14,-10.59
350104824,0.00,0.90,-10.55
350108524,0.08,0.67,-10.59
350112244,0.12,0.59,-10.51
350115980,0.16,0.55,-10.20
350119688,0.00,0.47,-10.20
350123400,0.24,0.67,-10.43
350127136,0.39,0.47,-10.24
350130840,0.27,0.55,-10.00
350134548,0.39,0.82,-10.12
350138284,0.20,1.33,-10.00
350141988,0.27,1.41,-9.96
350145664,0.08,1.61,-9.92
350149316,0.27,1.69,-9.96
350152984,0.63,1.88,-10.04
350156712,0.20,1.92,-10.16
350160440,0.12,2.08,-10.20
350164160,0.12,2.08,-10.28
350167880,0.04,1.88,-10.40
350171592,-0.04,1.61,-10.32
350175328,0.12,1.61,-10.67
350179064,0.04,1.41,-10.79
350182780,-0.04,1.33,-10.75
350186524,0.04,1.22,-10.79
