96015416,4,500
96688828,-2.47,0.59,-10.00
96692484,-2.31,1.18,-10.28
96696172,-2.08,1.49,-10.51
96699852,-1.88,2.28,-10.71
96703544,-1.26,2.47,-10.59
96707228,-0.82,3.30,-10.04
96710900,-0.55,2.86,-10.55
96714580,0.20,3.14,-10.51
96718244,0.90,2.86,-10.36
96721900,1.53,2.71,-10.00
96725560,1.77,2.35,-8.55
96729168,1.96,1.57,-9.96
96732780,2.98,1.84,-10.36
96736440,3.06,1.14,-9.81
96740048,3.02,0.31,-9.61
96743652,2.98,0.12,-9.85
96747264,2.98,-0.94,-10.36
96750964,2.63,-1.80,-10.08
96754636,2.24,-2.24,-9.65
96758260,1.96,-2.67,-9.85
96761892,2.35,-2.94,-10.12
96765568,2.04,-3.45,-9.89
96769196,2.28,-3.57,-9.57
96772828,2.51,-3.41,-9.96
96776444,2.59,-3.33,-9.81
96780068,2.28,-3.26,-10.20
96783752,2.55,-2.90,-10.04
96787424,2.59,-2.63,-10.20
96791112,2.59,-2.31,-9.77
96794752,2.71,-1.92,-9.89
96798380,2.75,-1.33,-10.24
96802072,2.71,-0.98,-10.63
96805752,2.79,-0.39,-9.96
96809380,2.71,-0.04,-10.75
96813064,2.67,0.35,-10.28
96816736,2.39,0.51,-9.61
96820340,2.04,0.98,-9.14
96823940,1.53,1.45,-9.77
96827556,0.86,1.53,-10.00
96831212,0.31,1.29,-10.28
96834880,0.08,1.61,-10.67
96838524,0.00,1.61,-10.08
96842172,0.04,2.00,-10.67
96845832,0.20,1.65,-9.96
96849424,0.24,2.12,-10.32
96853096,0.27,2.20,-10.20
96856744,0.24,1.88,-9.92
96860356,0.12,2.00,-10.12
96864008,0.24,1.41,-9.85
96867612,0.27,0.82,-9.96
96871212,0.35,1.45,-9.69
96874816,0.51,1.33,-9.30
96878420,0.71,1.49,-9.92
96882036,0.55,1.41,-10.12
96885708,0.51,1.37,-10.36
96889384,0.59,1.73,-10.36
96893060,0.51,0.98,-10.28
96896736,0.59,0.90,-10.90
96900392,0.47,0.12,-10.40
96904048,0.67,-0.04,-10.47
96907736,0.35,-0.47,-10.40
96911420,0.75,-0.67,-9.57
96915040,0.59,-0.75,-9.41
96918664,0.47,-0.98,-9.22
96922280,0.59,-1.18,-10.08
96925964,0.55,-1.02,-10.40
96929636,0.59,-1.10,-10.43
96933316,0.59,-0.94,-10.28
96937004,0.55,-0.71,-10.08
96940676,0.63,-0.67,-10.24
96944364,0.71,-0.59,-10.47
96948040,0.67,-0.51,-10.40
96951732,0.67,-0.47,-10.43
96955432,0.78,-0.12,-10.83
96959100,0.86,-0.47,-10.43
96962792,0.94,-0.35,-10.12
96966460,0.98,-0.35,-10.04
96970144,1.22,-0.39,-10.08
96973832,1.45,-0.78,-9.89
96977440,1.53,-0.86,-9.85
96981064,1.65,-0.71,-10.24
96984740,1.65,-0.51,-10.28
96988420,1.69,-0.51,-9.69
96992044,1.33,-0.75,-10.36
96995736,1.57,-0.94,-9.34
96999364,1.02,-0.82,-10.16
97003040,1.14,-0.78,-10.00
97006724,1.14,-0.75,-10.20
97010420,0.90,-0.78,-10.79
97014104,0.75,-0.86,-10.40
97017792,0.63,-0.98,-10.04
97021456,0.35,-0.98,-9.89
97025080,0.39,-1.06,-10.04
97028752,0.16,-0.86,-10.24
97032432,0.04,-0.90,-10.36
97036104,0.47,-0.75,-11.14
97039792,0.27,-0.82,-9.89
97043416,0.12,-0.63,-9.30
97047028,0.08,0.00,-9.34
97050612,0.04,0.08,-10.04
97054252,0.04,0.27,-11.06
97057904,0.12,0.08,-10.90
97061532,0.00,0.71,-10.40
97065172,-0.27,0.75,-9.41
97068800,-0.27,1.18,-9.45
97072412,-0.24,1.45,-9.69
97076036,-0.16,1.49,-10.51
97079728,-0.31,1.77,-10.36
97083420,-0.20,1.65,-9.81
97087036,-0.31,2.00,-9.96
97090648,-0.24,2.39,-10.12
97094332,-0.16,2.28,-10.32
97098016,0.08,2.31,-10.55
97101680,0.04,2.31,-10.71
97105344,0.24,2.24,-10.08
97109000,0.00,1.84,-10.04
97112640,0.20,1.61,-9.45
97116248,-0.04,1.49,-9.85
97119856,0.27,1.26,-9.89
97123468,0.08,0.86,-10.08
97127124,0.12,0.59,-10.04
97130768,0.00,0.35,-9.85
97134360,-0.55,0.08,-9.69
97137976,-0.39,0.16,-10.00
97141644,-0.51,-0.24,-10.43
97145344,-0.59,-0.35,-10.04
97149036,-0.78,-0.39,-10.71
97152736,-1.06,-0.35,-10.04
97156420,-1.14,-0.16,-10.08
97160128,-1.14,-0.47,-9.65
97163772,-1.14,-0.04,-10.20
97167456,-1.02,0.16,-10.16
97171140,-0.86,0.04,-9.69
97174756,-0.82,0.35,-10.32
97178444,-0.71,0.31,-10.36
97182140,-0.39,0.78,-10.63
97185836,-0.43,0.86,-10.71
97189504,-0.27,1.33,-10.67
97193188,-0.35,1.10,-10.20
97196848,0.00,1.33,-10.16
97200500,-0.20,1.33,-9.89
97204140,0.12,1.18,-10.12
97207820,0.12,1.22,-10.28
97211472,0.00,1.10,-10.83
